golden_id,tweet_id,conversation_id,created_at,text,previous_context,suggested_intent,difficulty,human_intent,human_escalate,human_resolution_note,annotator_notes,raw_text,raw_previous_context,label_audit_status
GS-011,505175,505175,Fri Dec 01 20:00:37 +0000 2017,@AppleSupport my apple music wont let me download songs or save songs to my account!!! pls help,,APPLE_ID_ICLOUD,hard,MEDIA_SERVICES,False,No explicit resolution outcome is established in the available thread.,Label based on the primary support problem expressed in the message and available conversation context.,@AppleSupport my apple music wont let me download songs or save songs to my account!!! pls help,,unchanged
GS-012,511117,511120,Fri Dec 01 23:11:06 +0000 2017,"@AppleSupport iReally don’t know about two factor authentication, what it is? But sign in problems I’m facing because my old registered number has lost, that’s why iCant login. How can iFix it","customer: @AppleSupport I’m facing problems to sign in my new iPhone X due to iLost my old mobile number attached to that id. How can iRecover it by new mobile number? || support: @237472 We're always here to help. To clarify, do you need to reset the Apple ID password? Is your Apple ID secured with Two-Factor Authentication?",APPLE_ID_ICLOUD,representative,APPLE_ID_ICLOUD,True,No explicit resolution outcome is established in the available thread.,Account/authentication issue; account-specific handling makes automation risky.,"@AppleSupport iReally donât know about two factor authentication, what it is? But sign in problems Iâm facing because my old registered number has lost, thatâs why iCant login. How can iFix it","customer: @AppleSupport Iâm facing problems to sign in my new iPhone X due to iLost my old mobile number attached to that id. How can iRecover it by new mobile number? || support: @237472 We're always here to help. To clarify, do you need to reset the Apple ID password? Is your Apple ID secured with Two-Factor Authentication?",unchanged
GS-013,331726,331730,Sat Oct 07 18:33:13 +0000 2017,@AppleSupport Apple requires us to have a credit card on file. So I ended up paying without knowing. Apple should take responsibility,"customer: @16194 I cancelled my subscription in April and you're still charging me. I tried to cancel through @115858. I am tired of paying! || support: @193814 Was your subscription canceled using the steps here? https://t.co/bOr0wYMLXU Let us know, we'd like to know more to assist.",PAYMENTS_PURCHASES,representative,PAYMENTS_PURCHASES,True,No confirmed resolution in the available thread; the issue appears unresolved or still under troubleshooting.,Billing/purchase/refund context is account-specific and should be reviewed before automation.,@AppleSupport Apple requires us to have a credit card on file. So I ended up paying without knowing. Apple should take responsibility,"customer: @16194 I cancelled my subscription in April and you're still charging me. I tried to cancel through @115858. I am tired of paying! || support: @193814 Was your subscription canceled using the steps here? https://t.co/bOr0wYMLXU Let us know, we'd like to know more to assist.",unchanged
GS-014,395532,395529,Mon Oct 09 19:40:33 +0000 2017,@AppleSupport i am an apple music subscriber. i do not use itunes to sync,"customer: @AppleSupport the issue persists. it is an iphone 7 || customer: @AppleSupport this has happened to me so many times || support: @209615 Are you an Apple Music subscriber? If not, are these songs purchased through iTunes or synced from a computer?",MEDIA_SERVICES,representative,MEDIA_SERVICES,False,No explicit resolution outcome is established in the available thread.,Label based on the primary support problem expressed in the message and available conversation context.,@AppleSupport i am an apple music subscriber. i do not use itunes to sync,"customer: @AppleSupport the issue persists. it is an iphone 7 || customer: @AppleSupport this has happened to me so many times || support: @209615 Are you an Apple Music subscriber? If not, are these songs purchased through iTunes or synced from a computer?",unchanged
GS-015,486091,486094,Fri Dec 01 15:57:56 +0000 2017,@AppleSupport Now it's not working again.,"customer: @115858 Contacts app is no longer working on my MacBook Air Laptop. I can add contacts on my phone, but if I add them on my laptop, they immediately disappear. Already tried rebooting entire computer. || support: @230640 Got it. Let's help you get things working as they should with your Contacts. Have you been able to check the available storage on your MacBook? Are you able to save files to the Mac with no issue?",DEVICE_PERFORMANCE,representative,DEVICE_PERFORMANCE,False,No explicit resolution outcome is established in the available thread.,Label based on the primary support problem expressed in the message and available conversation context.,@AppleSupport Now it's not working again.,"customer: @115858 Contacts app is no longer working on my MacBook Air Laptop. I can add contacts on my phone, but if I add them on my laptop, they immediately disappear. Already tried rebooting entire computer. || support: @230640 Got it. Let's help you get things working as they should with your Contacts. Have you been able to check the available storage on your MacBook? Are you able to save files to the Mac with no issue?",unchanged
GS-016,1068838,1068839,Mon Oct 23 16:42:55 +0000 2017,"@AppleSupport Thanks, but tried all that before. Just doesn't accept that Visa card annoyingly. Had to use a different credit card reluctantly.","customer: @AppleSupport Hi, please help me sort this out. Been using the same credit card for years and now this. Credit card is perfectly valid. https://t.co/BrI1ttdQQK || support: @372229 We're here to help. Let's try a few steps listed here: https://t.co/U96y4MTG7k Let us know if the issue persist.",PAYMENTS_PURCHASES,representative,PAYMENTS_PURCHASES,True,No confirmed resolution in the available thread; the issue appears unresolved or still under troubleshooting.,Billing/purchase/refund context is account-specific and should be reviewed before automation.,"@AppleSupport Thanks, but tried all that before. Just doesn't accept that Visa card annoyingly. Had to use a different credit card reluctantly.","customer: @AppleSupport Hi, please help me sort this out. Been using the same credit card for years and now this. Credit card is perfectly valid. https://t.co/BrI1ttdQQK || support: @372229 We're here to help. Let's try a few steps listed here: https://t.co/U96y4MTG7k Let us know if the issue persist.",unchanged
GS-017,32386,32390,Wed Nov 01 13:14:36 +0000 2017,@AppleSupport I just noticed I need to update to 11.1 so I’ll do that and make sure to contact y’all if it does it again!,customer: Anyone else’s iPhone randomly die when it’s not even on low battery? Idk if it’s the @115858 update or what || customer: @123177 @115858 🙋🏻 it doesn’t do it too often but it has started randomly restarting and it’s brand new.. maybe a problem with the update.. || support: @123176 We'd like to take a closer look at what's happening. DM us with what type of iPhone you're using. https://t.co/GDrqU22YpT,IOS_UPDATE,representative,IOS_UPDATE,False,No explicit resolution outcome is established in the available thread.,Label based on the primary support problem expressed in the message and available conversation context.,@AppleSupport I just noticed I need to update to 11.1 so Iâll do that and make sure to contact yâall if it does it again!,customer: Anyone elseâs iPhone randomly die when itâs not even on low battery? Idk if itâs the @115858 update or what || customer: @123177 @115858 ðð» it doesnât do it too often but it has started randomly restarting and itâs brand new.. maybe a problem with the update.. || support: @123176 We'd like to take a closer look at what's happening. DM us with what type of iPhone you're using. https://t.co/GDrqU22YpT,unchanged
GS-018,210558,210559,Thu Oct 05 15:22:35 +0000 2017,"@AppleSupport So I update my phone yesterday and the touch screen isn’t working properly, I’ve restarted it numerous times and it’s still not ok ☹️",customer: @AppleSupport please can you stop my phone from being glitchy 😭 stupid IOS update || support: @165827 We can certainly take a look at this with you. Can you tell us more about the issue you're having?,IOS_UPDATE,representative,DEVICE_PERFORMANCE,False,No confirmed resolution in the available thread; the issue appears unresolved or still under troubleshooting.,Label based on the primary support problem expressed in the message and available conversation context.,"@AppleSupport So I update my phone yesterday and the touch screen isnât working properly, Iâve restarted it numerous times and itâs still not ok â¹ï¸",customer: @AppleSupport please can you stop my phone from being glitchy ð­ stupid IOS update || support: @165827 We can certainly take a look at this with you. Can you tell us more about the issue you're having?,unchanged
GS-019,266513,266511,Sat Oct 07 14:50:43 +0000 2017,@AppleSupport Why would I make another user account? I’m not about to move everything over. Rendering was fine until I updated high Sierra is starting off buggy,support: @179493 We'd love to help out. Tell us more details about what you're experiencing since updating your Mac. || customer: @AppleSupport It crashes when I export out of adobe premiere twice now || support: @179493 Does the issue affect a different user account on your Mac? Check out how to create another user: https://t.co/uq2sgsajuY,IOS_UPDATE,hard,IOS_UPDATE,False,No explicit resolution outcome is established in the available thread.,Label based on the primary support problem expressed in the message and available conversation context.,@AppleSupport Why would I make another user account? Iâm not about to move everything over. Rendering was fine until I updated high Sierra is starting off buggy,support: @179493 We'd love to help out. Tell us more details about what you're experiencing since updating your Mac. || customer: @AppleSupport It crashes when I export out of adobe premiere twice now || support: @179493 Does the issue affect a different user account on your Mac? Check out how to create another user: https://t.co/uq2sgsajuY,unchanged
GS-020,668550,668551,Thu Nov 23 04:15:29 +0000 2017,"@AppleSupport Yes, the two-factor authentication code","customer: @115858 @AppleSupport If you lose your iPhone and go to iCloud to try and locate it but the security says enter a passcode that's sent to your iPhone, how do you track the phone? 😱🧐 || support: @279410 Thanks for reaching out. We'd like to help. Are you referring to your two-factor authentication code? Let us know in a DM, we'll continue there. https://t.co/GDrqU22YpT",APPLE_ID_ICLOUD,representative,APPLE_ID_ICLOUD,True,No explicit resolution outcome is established in the available thread.,Account/authentication issue; account-specific handling makes automation risky.,"@AppleSupport Yes, the two-factor authentication code","customer: @115858 @AppleSupport If you lose your iPhone and go to iCloud to try and locate it but the security says enter a passcode that's sent to your iPhone, how do you track the phone? ð±ð§ || support: @279410 Thanks for reaching out. We'd like to help. Are you referring to your two-factor authentication code? Let us know in a DM, we'll continue there. https://t.co/GDrqU22YpT",unchanged
GS-021,964370,964367,Tue Oct 24 02:39:42 +0000 2017,@116333 @348896 Why does Laura the manager at the Apple store in Dedham Ma tell people that you can't return products bought online to that store?,"customer: Thanks @348896 for a great conversation about education, diversity and Apple’s strong ties with Chicago. https://t.co/nqjiCf6edh",PAYMENTS_PURCHASES,representative,PAYMENTS_PURCHASES,True,No confirmed resolution in the available thread; the issue appears unresolved or still under troubleshooting.,Billing/purchase/refund context is account-specific and should be reviewed before automation.,@116333 @348896 Why does Laura the manager at the Apple store in Dedham Ma tell people that you can't return products bought online to that store?,"customer: Thanks @348896 for a great conversation about education, diversity and Appleâs strong ties with Chicago. https://t.co/nqjiCf6edh",unchanged
GS-022,450344,450347,Thu Nov 30 21:35:23 +0000 2017,@221751 Same! No warning my screen just switches off then I’ll plug it in for charge and it’s already on :@@@@ @115858 ur shit,customer: we gave zoella a load of rap for her calendar but can we discuss how I paid £700 for my iPhone less than a year ago and it just switched off at 29% and turned on again at 7% || customer: @221751 MY PHONE DOES THE SAME THING🙂🙃 || customer: @221750 It's such a joke!! I hate when it dies at like 30% and won't turn on and I'm like I kno u have charge in there why u lying. And as soon as I plug it in it turns on?? V frustrating,BATTERY_POWER,hard,BATTERY_POWER,False,No confirmed resolution in the available thread; the issue appears unresolved or still under troubleshooting.,Label based on the primary support problem expressed in the message and available conversation context.,@221751 Same! No warning my screen just switches off then Iâll plug it in for charge and itâs already on :@@@@ @115858 ur shit,customer: we gave zoella a load of rap for her calendar but can we discuss how I paid Â£700 for my iPhone less than a year ago and it just switched off at 29% and turned on again at 7% || customer: @221751 MY PHONE DOES THE SAME THINGðð || customer: @221750 It's such a joke!! I hate when it dies at like 30% and won't turn on and I'm like I kno u have charge in there why u lying. And as soon as I plug it in it turns on?? V frustrating,unchanged
GS-023,1052457,1052458,Tue Oct 24 17:12:14 +0000 2017,@AppleSupport I also got this one & never used it set up apple pay or wallet on my iPhone. Please help me STOP this garbage! Thanks! https://t.co/xIRaNs9afn,"customer: @115858 Updated my IPhone 6S to IOS 11.0.03. How do I STOP the annoying pop-ups please? Thank you very much!! #NotHappy || support: @368721 We can investigate this together. To help isolate the issue, can you give us some details on the pop-ups you’re noticing?",PAYMENTS_PURCHASES,representative,PAYMENTS_PURCHASES,True,No explicit resolution outcome is established in the available thread.,Billing/purchase/refund context is account-specific and should be reviewed before automation.,@AppleSupport I also got this one &amp; never used it set up apple pay or wallet on my iPhone. Please help me STOP this garbage! Thanks! https://t.co/xIRaNs9afn,"customer: @115858 Updated my IPhone 6S to IOS 11.0.03. How do I STOP the annoying pop-ups please? Thank you very much!! #NotHappy || support: @368721 We can investigate this together. To help isolate the issue, can you give us some details on the pop-ups youâre noticing?",unchanged
GS-024,657206,657206,Thu Oct 05 07:03:29 +0000 2017,@AppleSupport Battery is draining 100% to 0% in less than 10 min. Is this a known issue?,,BATTERY_POWER,edge,BATTERY_POWER,False,No explicit resolution outcome is established in the available thread.,Label based on the primary support problem expressed in the message and available conversation context.,@AppleSupport Battery is draining 100% to 0% in less than 10 min. Is this a known issue?,,unchanged
GS-025,808851,808851,Sun Oct 08 07:47:08 +0000 2017,@115858 @AppleSupport so I just tried to update my 6s. What is this? https://t.co/VaAVmuYio3,,IOS_UPDATE,edge,IOS_UPDATE,False,No explicit resolution outcome is established in the available thread.,Label based on the primary support problem expressed in the message and available conversation context.,@115858 @AppleSupport so I just tried to update my 6s. What is this? https://t.co/VaAVmuYio3,,unchanged
GS-026,188380,188382,Wed Oct 04 16:35:17 +0000 2017,@AppleSupport thanks for replying. iPhone 7 iOS 11.0.1,customer: any ideas why my 2016 4series has such problems with connecting to @115858 CarPlay @4792 ? works one day and magically stops working the next || support: @160204 We can take a look at helping. Which device model and iOS version are you using?,IOS_UPDATE,representative,IOS_UPDATE,False,No explicit resolution outcome is established in the available thread.,Label based on the primary support problem expressed in the message and available conversation context.,@AppleSupport thanks for replying. iPhone 7 iOS 11.0.1,customer: any ideas why my 2016 4series has such problems with connecting to @115858 CarPlay @4792 ? works one day and magically stops working the next || support: @160204 We can take a look at helping. Which device model and iOS version are you using?,unchanged
GS-027,337009,337014,Sat Oct 07 22:28:36 +0000 2017,"@196406 @AppleSupport I have the same issue on my new iPhone 8+. WiFi works great for a bit, then just stops. Restarted phone and toggled airplane several times","customer: @AppleSupport Wifi connect doesn’t work well - I can connect and it works for a seconds and then doesn’t respond || support: @196406 Got it, thanks. Does this occur with a private network, public, or both? Also, have you tried a normal restart of your iPhone? || customer: @AppleSupport Both and yes, tried that several times.",CONNECTIVITY,representative,CONNECTIVITY,False,No explicit resolution outcome is established in the available thread.,Label based on the primary support problem expressed in the message and available conversation context.,"@196406 @AppleSupport I have the same issue on my new iPhone 8+. WiFi works great for a bit, then just stops. Restarted phone and toggled airplane several times","customer: @AppleSupport Wifi connect doesnât work well - I can connect and it works for a seconds and then doesnât respond || support: @196406 Got it, thanks. Does this occur with a private network, public, or both? Also, have you tried a normal restart of your iPhone? || customer: @AppleSupport Both and yes, tried that several times.",unchanged
GS-028,447410,447411,Thu Nov 30 20:06:18 +0000 2017,@AppleSupport It’s on my iPhone 6. Photos were taken on this device but only stored in this app. Not uploaded to the cloud. App appears to have been completely redesigned and many people reporting same issue. #concerned,"customer: @AppleSupport recently upgraded ‘my media manager’ app by Mo Wellin & can no longer access with password as app has completely changed. There are many important photos that I’m hoping are not lost. Have emailed the app maker. #helpplease || support: @220970 Which device is this app for? Were these photos taken from your device? If so, have you checked https://t.co/tmRhWEkIq4 from a computer, to see if they are there?",APPS_APP_STORE,representative,DATA_BACKUP_RESTORE,True,No explicit resolution outcome is established in the available thread.,Recovery/data state can be sensitive or irreversible; verify before automating.,@AppleSupport Itâs on my iPhone 6. Photos were taken on this device but only stored in this app. Not uploaded to the cloud. App appears to have been completely redesigned and many people reporting same issue. #concerned,"customer: @AppleSupport recently upgraded âmy media managerâ app by Mo Wellin &amp; can no longer access with password as app has completely changed. There are many important photos that Iâm hoping are not lost. Have emailed the app maker. #helpplease || support: @220970 Which device is this app for? Were these photos taken from your device? If so, have you checked https://t.co/tmRhWEkIq4 from a computer, to see if they are there?",unchanged
GS-029,34581,34583,Wed Nov 01 14:03:55 +0000 2017,"@AppleSupport Basically for a chat to be opened from call log, the message app should be opened/running in background. Otherwise, it takes twice.",customer: @115858 @AppleSupport @1542 So one has to go back to call log. Click that message icon again and then a chat for that particular number opens up. || support: @123491 Thanks for bringing this to our attention. Can you tell us which iOS version this is occurring on please? || customer: @AppleSupport It has been happening since iOS 11 came out. I hoped that it would be fixed in further updates. I’m using iOS 11.1 now on iPhone 6s.,APPS_APP_STORE,representative,APPS_APP_STORE,False,No explicit resolution outcome is established in the available thread.,Label based on the primary support problem expressed in the message and available conversation context.,"@AppleSupport Basically for a chat to be opened from call log, the message app should be opened/running in background. Otherwise, it takes twice.",customer: @115858 @AppleSupport @1542 So one has to go back to call log. Click that message icon again and then a chat for that particular number opens up. || support: @123491 Thanks for bringing this to our attention. Can you tell us which iOS version this is occurring on please? || customer: @AppleSupport It has been happening since iOS 11 came out. I hoped that it would be fixed in further updates. Iâm using iOS 11.1 now on iPhone 6s.,unchanged
GS-030,991144,991145,Sun Oct 22 05:06:30 +0000 2017,@115858 I’ve been trying to connect the Apple TV remote shortcut in the control center to my receiver for weeks and nOTHING UGH,customer: srsly wishing I could uninstall iOS 11. @115858 please fix everything about it ty,CONNECTIVITY,representative,CONNECTIVITY,False,No explicit resolution outcome is established in the available thread.,Label based on the primary support problem expressed in the message and available conversation context.,@115858 Iâve been trying to connect the Apple TV remote shortcut in the control center to my receiver for weeks and nOTHING UGH,customer: srsly wishing I could uninstall iOS 11. @115858 please fix everything about it ty,unchanged
GS-031,437411,437409,Tue Oct 10 20:33:32 +0000 2017,@AppleSupport I unplugged the phone from my Mac keyboard's USB and instead straight into the Mac and the Restore completed. No idea why that matters. #fin,"support: @218878 To clarify, is there anything showing on the screen of your iPhone when you attempt to restore? Let us know, we'd like to help. || customer: @AppleSupport To answer your question, there is nothing displayed on the phone while restore is attempted or any other time other than a brief Apple logo. || support: @218878 We will need to restore your iPhone via Recovery Mode. This article walks you through it: https://t.co/iYLZzFD8qZ",DATA_BACKUP_RESTORE,representative,DATA_BACKUP_RESTORE,True,No explicit resolution outcome is established in the available thread.,Recovery/data state can be sensitive or irreversible; verify before automating.,@AppleSupport I unplugged the phone from my Mac keyboard's USB and instead straight into the Mac and the Restore completed. No idea why that matters. #fin,"support: @218878 To clarify, is there anything showing on the screen of your iPhone when you attempt to restore? Let us know, we'd like to help. || customer: @AppleSupport To answer your question, there is nothing displayed on the phone while restore is attempted or any other time other than a brief Apple logo. || support: @218878 We will need to restore your iPhone via Recovery Mode. This article walks you through it: https://t.co/iYLZzFD8qZ",unchanged
GS-032,796611,796612,Thu Oct 12 15:06:45 +0000 2017,@AppleSupport That’d be a 7 Plus with iOS 11.03 (issue has occurred with several iOS versions).,customer: Anyone else (@AppleSupport) having Mail act oddly like this with iOS - usually have a force close and reopen to reset. https://t.co/Q2AbyUog62 || support: @309955 We want to see how we can help. Which device and iOS version are you experiencing this on?,IOS_UPDATE,representative,IOS_UPDATE,False,No explicit resolution outcome is established in the available thread.,Label based on the primary support problem expressed in the message and available conversation context.,@AppleSupport Thatâd be a 7 Plus with iOS 11.03 (issue has occurred with several iOS versions).,customer: Anyone else (@AppleSupport) having Mail act oddly like this with iOS - usually have a force close and reopen to reset. https://t.co/Q2AbyUog62 || support: @309955 We want to see how we can help. Which device and iOS version are you experiencing this on?,unchanged
GS-033,209075,209077,Wed Oct 04 19:28:44 +0000 2017,"@AppleSupport My problem is that all our devices are under the same person, and I do not know how to sign in on a new Apple ID.","customer: @AppleSupport how do I accept a family sharing invitation when it keeps coming through as invalid? || support: @165489 We'd like to take a look with you. First, check out this helpful article: https://t.co/7ud494bBnO",APPLE_ID_ICLOUD,representative,APPLE_ID_ICLOUD,True,No confirmed resolution in the available thread; the issue appears unresolved or still under troubleshooting.,Account/authentication issue; account-specific handling makes automation risky.,"@AppleSupport My problem is that all our devices are under the same person, and I do not know how to sign in on a new Apple ID.","customer: @AppleSupport how do I accept a family sharing invitation when it keeps coming through as invalid? || support: @165489 We'd like to take a look with you. First, check out this helpful article: https://t.co/7ud494bBnO",unchanged
GS-034,503660,503661,Fri Dec 01 19:24:27 +0000 2017,"@AppleSupport also, I wasn't able to restore anything from my old device to my new one!!! How great!!",customer: @AppleSupport thank you guys for giving me such a hard time the past week with getting a new phone because you were no help :),DATA_BACKUP_RESTORE,representative,DATA_BACKUP_RESTORE,True,No explicit resolution outcome is established in the available thread.,Recovery/data state can be sensitive or irreversible; verify before automating.,"@AppleSupport also, I wasn't able to restore anything from my old device to my new one!!! How great!!",customer: @AppleSupport thank you guys for giving me such a hard time the past week with getting a new phone because you were no help :),unchanged
GS-035,307381,307332,Sun Oct 08 16:44:13 +0000 2017,@AppleSupport I want to completely turn off wifi on control panel. Is there any setting? It seems I can do so only by setting apps...,support: You can now add more controls to Control Center in iOS 11. Here's a guide. Learn more https://t.co/D5hw2gyots https://t.co/cpVyAGxQAg,CONNECTIVITY,representative,CONNECTIVITY,False,No explicit resolution outcome is established in the available thread.,Label based on the primary support problem expressed in the message and available conversation context.,@AppleSupport I want to completely turn off wifi on control panel. Is there any setting? It seems I can do so only by setting apps...,support: You can now add more controls to Control Center in iOS 11. Here's a guide. Learn more https://t.co/D5hw2gyots https://t.co/cpVyAGxQAg,unchanged
GS-036,1145082,1145080,Wed Oct 25 15:23:10 +0000 2017,@AppleSupport After updating to 11.0.3 all the more touch issues...tap in some area creates actions of touch in random area...keypad types random things 😡,support: @389493 We know how important it is to have our devices working as expected. Let's work together. Can you provide which iOS you're using? || customer: @AppleSupport 11.0.1 || support: @389493 Thanks for providing that for us. Let's get your device on the latest update which is 11.0.3: https://t.co/80YRnjDFDk,IOS_UPDATE,representative,IOS_UPDATE,False,No explicit resolution outcome is established in the available thread.,Label based on the primary support problem expressed in the message and available conversation context.,@AppleSupport After updating to 11.0.3 all the more touch issues...tap in some area creates actions of touch in random area...keypad types random things ð¡,support: @389493 We know how important it is to have our devices working as expected. Let's work together. Can you provide which iOS you're using? || customer: @AppleSupport 11.0.1 || support: @389493 Thanks for providing that for us. Let's get your device on the latest update which is 11.0.3: https://t.co/80YRnjDFDk,unchanged
